lookback_window,forecast_date,start_price,actual_final_price,median_mc_final_price,mean_mc_final_price,p16_final,p84_final,p025_final,p975_final,in_68_band,in_95_band,abs_pct_error_final,prob_mc_final_below_actual,prob_mc_final_above_actual,mu_daily_used,sigma_daily_used,ann_mu_used,ann_vol_used,n_sims,horizon_days,step_days
30,2025-10-31,17.24004554748535,11.09844970703125,10.31529951095581,12.04916657793522,5.585382461547852,18.09394645690918,3.0409724712371826,32.77184295654297,True,True,7.0563927102294866,0.558,0.442,-0.003973744458358742,0.060986385174505685,-1.4504167273009407,1.1651432527712657,1000,90,1
30,2025-11-01,17.1216983795166,10.769638061523438,9.496809959411621,11.210459436416626,5.3123674392700195,16.815031051635742,3.301255941390991,27.844104766845703,True,True,11.818671108913447,0.582,0.418,-0.004498868431129704,0.060092655489413276,-1.6420869773623419,1.1480685711122827,1000,90,1
30,2025-11-02,17.598976135253906,9.968608856201172,9.704676628112793,11.413262992620469,5.312520503997803,17.841787338256836,3.036409378051758,28.491504669189453,True,True,2.6476335052929123,0.514,0.486,-0.004754804964946035,0.0600040896065034,-1.7355038122053028,1.14637652229511,1000,90,1
30,2025-11-03,15.24285888671875,9.410691261291504,8.337931156158447,10.233183091640472,4.830316543579102,15.82851505279541,2.7407796382904053,26.547651290893555,True,True,11.399376255659178,0.576,0.424,-0.004112646835605142,0.06038145957022393,-1.5011160949958766,1.1535861653288688,1000,90,1
30,2025-11-04,14.724411964416504,9.806777000427246,6.876521348953247,8.428628317117692,3.821316719055176,13.051705360412598,2.176980972290039,23.03466033935547,True,True,29.879905001881234,0.7,0.3,-0.006139752431936093,0.06523364370854874,-2.2410096376566737,1.2462870131295063,1000,90,1
30,2025-11-05,15.150303840637207,9.45098876953125,6.98888635635376,8.274916431128979,3.7443790435791016,12.437804222106934,2.1486003398895264,22.90778923034668,True,True,26.05126800187284,0.716,0.284,-0.0066940757576993155,0.0653239618635019,-2.4433376515602503,1.2480125390570604,1000,90,1
30,2025-11-06,14.716654777526855,9.251476287841797,6.596473693847656,7.922868537068367,3.621574640274048,11.932671546936035,1.8737268447875977,20.84344482421875,True,True,28.698150558774284,0.704,0.296,-0.007227117791121874,0.06433000649033739,-2.6378979937594838,1.22902304831606,1000,90,1
30,2025-11-07,15.769024848937988,7.9071807861328125,7.407142877578735,8.890127291798592,4.019745349884033,13.76772403717041,2.311018705368042,24.421072006225586,True,True,6.323845654711935,0.554,0.446,-0.006591578901812169,0.06362529374867712,-2.405926299161442,1.215559530290882,1000,90,1
30,2025-11-08,15.515359878540039,8.879450798034668,7.3545732498168945,9.151961215078831,3.897986888885498,14.186651229858398,2.1893105506896973,25.881244659423828,True,True,17.173106568204442,0.606,0.394,-0.006013630094826756,0.06482310312830052,-2.1949749846117657,1.2384436463568027,1000,90,1
30,2025-11-09,15.927966117858887,8.91329288482666,7.985515356063843,9.700949943304062,4.275465488433838,14.512845039367676,2.4190311431884766,27.372495651245117,True,True,10.408920033831691,0.573,0.427,-0.005829515286679616,0.06476491600642462,-2.12777307963806,1.23733198295426,1000,90,1
30,2025-11-10,16.34421157836914,8.832435607910156,12.693702220916748,14.372533957958222,8.416441917419434,20.672119140625,5.473576068878174,31.534374237060547,True,True,43.71689513986965,0.192,0.808,-0.0014298462542284601,0.049005380620760264,-0.521893882793388,0.9362464821678844,1000,90,1
30,2025-11-11,15.298300743103027,8.829837799072266,12.886435985565186,14.10812520623207,7.882963180541992,20.387296676635742,4.863300323486328,31.890535354614258,True,True,45.94193323595523,0.233,0.767,-0.0008636573003232696,0.04927012434138835,-0.3152349146179934,0.9413044038486126,1000,90,1
30,2025-11-12,15.141704559326172,8.561299324035645,9.627533435821533,10.919773486137391,6.4119648933410645,15.6889066696167,4.114127159118652,23.1855525970459,True,True,12.454115566225576,0.382,0.618,-0.003653415773266604,0.046612047859213815,-1.3334967572423104,0.890521923960785,1000,90,1
30,2025-11-13,14.584552764892578,8.311589241027832,8.776021003723145,9.702835214972495,5.640865802764893,13.758451461791992,3.873948097229004,20.599803924560547,True,True,5.587761247906409,0.439,0.561,-0.00452505475096528,0.045672536887255435,-1.6516449841023273,0.8725725920443316,1000,90,1
30,2025-11-14,13.800078392028809,8.402665138244629,7.972427845001221,8.835625356554985,5.2996416091918945,12.295459747314453,3.657099723815918,18.253293991088867,True,True,5.120247994712868,0.544,0.456,-0.004507104931885236,0.04564895319580925,-1.6450933001381112,0.8721220262518955,1000,90,1
30,2025-11-15,14.120943069458008,8.768281936645508,8.704594612121582,9.493232908964156,5.668631076812744,13.08636474609375,3.7134692668914795,21.54036521911621,True,True,0.7263375537430616,0.507,0.493,-0.004486902788510374,0.04560598928207485,-1.6377195178062867,0.8713012018325264,1000,90,1
30,2025-11-16,13.741969108581543,9.088452339172363,9.021568775177002,9.958498730182647,5.909140110015869,14.202712059020996,3.8817431926727295,20.684656143188477,True,True,0.7359180804314192,0.507,0.493,-0.0034851711152875647,0.045647092281327614,-1.2720874570799612,0.8720864735306437,1000,90,1
30,2025-11-17,13.306071281433105,8.78187084197998,9.067879676818848,9.768294078111648,5.9753642082214355,13.275236129760742,3.8867006301879883,20.002269744873047,True,True,3.2568098527669065,0.47,0.53,-0.003160412994359681,0.0451988600231056,-1.1535507429412835,0.8635230082613474,1000,90,1
30,2025-11-18,13.79493236541748,8.925537109375,8.982942581176758,9.759950110912323,5.669231414794922,13.805936813354492,3.891143321990967,19.95013999938965,True,True,0.6431598580376896,0.493,0.507,-0.003906527472792975,0.04529383572420658,-1.4258825275694358,0.8653375164831151,1000,90,1
